t,F
1.893250000000000000e+03,4.189987986697806122e+01
1.893333333000000039e+03,4.190125106446134851e+01
1.893416666999999961e+03,4.190261909100090776e+01
1.893500000000000000e+03,4.190398574439021218e+01
1.893583333000000039e+03,4.190535012887877997e+01
1.893666666999999961e+03,3.788265576914972144e+01
1.893750000000000000e+03,3.789800193327824473e+01
1.893833333000000039e+03,3.791332963766620878e+01
1.893916666999999961e+03,3.792885305923191197e+01
1.894000000000000000e+03,3.794414341573101979e+01
1.894083333000000039e+03,3.795962629747991457e+01
1.894166666999999961e+03,3.797488164058549387e+01
1.894250000000000000e+03,3.799032632232165696e+01
1.894333333000000039e+03,3.800554147614029432e+01
1.894416666999999961e+03,3.802095028031931889e+01
1.894500000000000000e+03,3.803612757647998421e+01
1.894583333000000039e+03,3.805149534709083525e+01
1.894666666999999961e+03,3.963272622399268386e+01
1.894750000000000000e+03,3.962931140155355791e+01
1.894833333000000039e+03,3.962589363298173595e+01
1.894916666999999961e+03,3.962247135134168730e+01
1.895000000000000000e+03,3.961904768958522283e+01
1.895083333000000039e+03,3.961562108129660942e+01
1.895166666999999961e+03,3.961218995801635856e+01
1.895250000000000000e+03,3.960875745578260876e+01
1.895333333000000039e+03,3.960532200665500824e+01
1.895416666999999961e+03,3.960188204065437390e+01
1.895500000000000000e+03,3.959844069689729196e+01
1.895583333000000039e+03,3.959499640592253655e+01
1.895666666999999961e+03,3.505266443755388650e+01
1.895750000000000000e+03,3.504743204712703886e+01
1.895833333000000039e+03,3.504219883090723897e+01
1.895916666999999961e+03,3.503696310927702484e+01
1.896000000000000000e+03,3.503172825350140585e+01
1.896083333000000039e+03,3.502649258360744966e+01
1.896166666999999961e+03,3.502125442107244169e+01
1.896250000000000000e+03,3.501601713499577784e+01
1.896333333000000039e+03,3.501077904649632444e+01
1.896416666999999961e+03,3.500553847815389474e+01
1.896500000000000000e+03,3.500029879688626266e+01
1.896583333000000039e+03,3.499505832491156099e+01
1.896666666999999961e+03,2.651643991692749580e+01
1.896750000000000000e+03,2.651725313101294290e+01
1.896833333000000039e+03,2.651806483709807338e+01
1.896916666999999961e+03,2.651887387147113984e+01
1.897000000000000000e+03,2.651968256344236252e+01
