year,F
1.892583333333321889e+03,-2.666320297092246605e+01
1.892666666666655146e+03,-5.478849260944488719e+01
1.892749999999988404e+03,-2.208434324824261452e+01
1.892833333333321661e+03,4.671514484665006961e+00
1.892916666666654919e+03,-1.919614013599340652e+01
1.892999999999988177e+03,-4.295273059037086227e+01
1.893083333333321434e+03,-2.039476126413323698e+01
1.893166666666654692e+03,1.357992063090376433e+01
1.893249999999987949e+03,9.382520314646704662e+00
1.893333333333321207e+03,-3.120033414380905157e+01
1.893416666666654464e+03,-4.890418307655608743e+01
1.893499999999987722e+03,-1.620655011164906867e+01
1.893583333333320979e+03,-4.433321492917464468e+00
1.893666666666654237e+03,-3.743905615934301068e+01
1.893749999999987494e+03,-4.995087221292381230e+01
1.893833333333320752e+03,-1.519337823204194393e+01
1.893916666666654010e+03,1.310885260428739230e+01
1.893999999999987267e+03,-2.069453705582645853e+00
1.894083333333320525e+03,-3.657063375781412162e+01
1.894166666666653782e+03,-3.689393148148572266e+01
1.894249999999987040e+03,-6.657330858760737158e-01
1.894333333333320297e+03,-7.096920436361267903e+00
1.894416666666653555e+03,-4.983864255442041014e+01
1.894499999999986812e+03,-4.830997422669916830e+01
1.894583333333320070e+03,-5.941531160954502511e+00
1.894666666666653327e+03,1.034474938651356624e+01
1.894749999999986585e+03,-1.332928750910405924e+01
1.894833333333319842e+03,-3.488389997390200392e+01
1.894916666666653100e+03,-2.315380858266699704e+01
1.894999999999986358e+03,6.728188575881457467e+00
1.895083333333319615e+03,-1.078977349892151238e+01
1.895166666666652873e+03,-5.451196421013948168e+01
1.895249999999986130e+03,-4.161335113690080334e+01
1.895333333333319388e+03,1.802927869359173485e+00
1.895416666666652645e+03,3.145644179116001027e+00
1.895499999999985903e+03,-2.525219023454361889e+01
1.895583333333319160e+03,-3.118998239088718805e+01
1.895666666666652418e+03,-7.293276639191269339e+00
1.895749999999985675e+03,1.013278057998889992e+01
1.895833333333318933e+03,-2.494111689511625585e+01
1.895916666666652191e+03,-6.303984738705617019e+01
1.895999999999985448e+03,-3.639399632366767889e+01
1.896083333333318706e+03,-8.805577769322496806e-01
1.896166666666651963e+03,-1.563645119156428009e+01
1.896249999999985221e+03,-4.038691551502105881e+01
1.896333333333318478e+03,-2.712905161055481784e+01
1.896416666666651736e+03,3.676314699966141575e+00
1.896499999999984993e+03,1.257777883722371826e+01
1.896583333333318251e+03,-2.503719190358838276e+01
1.896666666666651508e+03,-5.537317561613134842e+01
1.896749999999984766e+03,-2.173874042523658545e+01
1.896833333333318024e+03,5.481540493607148790e+00
1.896916666666651281e+03,-2.089868208227341384e+01
1.896999999999984539e+03,-4.021370318592227022e+01
1.897083333333317796e+03,-1.566189687079697634e+01
1.897166666666651054e+03,1.148007927633257097e+01
1.897249999999984311e+03,5.805415237641074810e+00
1.897333333333317569e+03,-3.156030230103305456e+01
1.897416666666650826e+03,-4.870848150929852238e+01
1.897499999999984084e+03,-1.664472169662932188e+01
1.897583333333317341e+03,-8.452221647852647735e+00
1.897666666666650599e+03,-4.216140718890841299e+01
1.897749999999983856e+03,-4.789085254812215453e+01
1.897833333333317114e+03,-1.316319089639606332e+01
1.897916666666650372e+03,8.637991417745006117e+00
1.897999999999983629e+03,-2.086039381052863462e+00
1.898083333333316887e+03,-3.006343408560279684e+01
1.898166666666650144e+03,-3.555417718691544593e+01
1.898249999999983402e+03,-4.741587655252640587e+00
1.898333333333316659e+03,-9.996525093227750958e+00
1.898416666666649917e+03,-4.756533290850575924e+01
1.898499999999983174e+03,-4.165591913629458531e+01
1.898583333333316432e+03,-5.745556115251059026e+00
1.898666666666649689e+03,4.052842078141722482e+00
1.898749999999982947e+03,-1.066863509918584896e+01
1.898833333333316205e+03,-2.471895935235684050e+01
1.898916666666649462e+03,-2.123988694833814961e+01
1.898999999999982720e+03,-1.158627831149136256e+00
1.899083333333315977e+03,-1.693182346314535280e+01
1.899166666666649235e+03,-5.222921703279589423e+01
1.899249999999982492e+03,-3.822576656131738559e+01
1.899333333333315750e+03,-4.232304185347018688e+00
1.899416666666649007e+03,-4.166048841664174773e+00
1.899499999999982265e+03,-1.885890143957269416e+01
1.899583333333315522e+03,-2.160425388252707180e+01
1.899666666666648780e+03,-1.141044442556836103e+01
1.899749999999982037e+03,1.398233027661294869e+00
1.899833333333315295e+03,-2.411757531606184912e+01
1.899916666666648553e+03,-5.590360541484534451e+01
1.899999999999981810e+03,-3.561229589589322586e+01
1.900083333333315068e+03,-1.029535860840603512e+01
1.900166666666648325e+03,-1.883477858404039296e+01
1.900249999999981583e+03,-2.749582253861548864e+01
1.900333333333314840e+03,-1.803440109521675438e+01
1.900416666666648098e+03,-4.898864478521517185e+00
1.900499999999981355e+03,3.990006340213316349e+00
1.900583333333314613e+03,-1.831594520495765721e+01
1.900666666666647870e+03,-4.596998268256031395e+01
1.900749999999981128e+03,-2.681798262596656812e+01
1.900833333333314386e+03,-7.101214846097994027e+00
1.900916666666647643e+03,-1.991686336847567773e+01
1.900999999999980901e+03,-2.644595609555111793e+01
1.901083333333314158e+03,-1.337983957181312888e+01
1.901166666666647416e+03,-1.055000814608160198e+00
1.901249999999980673e+03,2.307116011814038359e+00
1.901333333333313931e+03,-2.067165207903474311e+01
1.901416666666647188e+03,-4.340224715387259380e+01
1.901499999999980446e+03,-2.707799421790212335e+01
1.901583333333313703e+03,-1.966589850065884804e+01
1.901666666666646961e+03,-3.597358449247329304e+01
1.901749999999980218e+03,-3.549188431294928847e+01
1.901833333333313476e+03,-1.819325223160792859e+01
1.901916666666646734e+03,-4.156811282493947601e+00
1.901999999999979991e+03,2.967325633095160953e+00
1.902083333333313249e+03,-1.452955406959010176e+01
1.902166666666646506e+03,-3.612619800320265995e+01
1.902249999999979764e+03,-2.009041044701771028e+01
1.902333333333313021e+03,-1.391226733534069560e+01
1.902416666666646279e+03,-3.288087509259078445e+01
1.902499999999979536e+03,-3.292323786374550565e+01
1.902583333333312794e+03,-1.767292645451136934e+01
1.902666666666646051e+03,-5.535558734004512260e+00
1.902749999999979309e+03,1.174999923521141909e+00
1.902833333333312567e+03,-1.136157091010555398e+01
1.902916666666645824e+03,-2.847134459006918661e+01
1.902999999999979082e+03,-1.773653300628869189e+01
1.903083333333312339e+03,-1.825568412861383294e+01
1.903166666666645597e+03,-3.925683766444153378e+01
1.903249999999978854e+03,-3.758318299982627764e+01
1.903333333333312112e+03,-2.024912386391297048e+01
1.903416666666645369e+03,-7.681632838299149668e+00
1.903499999999978627e+03,-2.437005867834539430e+00
1.903583333333311884e+03,-1.458193031970616893e+01
1.903666666666645142e+03,-2.559705057244899251e+01
1.903749999999978400e+03,-9.185392276900918418e+00
1.903833333333311657e+03,-1.391009448743677979e+01
1.903916666666644915e+03,-4.263077853707854104e+01
1.903999999999978172e+03,-4.238136875062397024e+01
1.904083333333311430e+03,-2.450323447781113018e+01
1.904166666666644687e+03,-1.149839794263823123e+01
1.904249999999977945e+03,-7.866514188882399949e+00
1.904333333333311202e+03,-1.760950097989961805e+01
1.904416666666644460e+03,-2.147631509621054491e+01
1.904499999999977717e+03,-2.382714362670764530e+00
1.904583333333310975e+03,-6.584001225946563451e+00
1.904666666666644232e+03,-3.782054772967529743e+01
1.904749999999977490e+03,-3.880112514693269077e+01
1.904833333333310748e+03,-1.831223634435870906e+01
1.904916666666644005e+03,-7.966587063191042262e+00
1.904999999999977263e+03,-1.200000891039093354e+01
1.905083333333310520e+03,-2.125489366674690217e+01
1.905166666666643778e+03,-1.528993773969975223e+01
1.905249999999977035e+03,5.320582395560993660e+00
1.905333333333310293e+03,-8.663695210570390159e+00
1.905416666666643550e+03,-4.477171204848417574e+01
1.905499999999976808e+03,-4.204686769922706446e+01
1.905583333333310065e+03,-2.283793236695328943e+01
1.905666666666643323e+03,-1.889539145714419277e+01
1.905749999999976581e+03,-2.734393078613009820e+01
1.905833333333309838e+03,-3.207483887536952238e+01
1.905916666666643096e+03,-1.389575037832771720e+01
1.905999999999976353e+03,1.132939733839448948e+01
1.906083333333309611e+03,-4.834407444982076640e+00
1.906166666666642868e+03,-4.271776142537781595e+01
1.906249999999976126e+03,-3.482970510065269565e+01
1.906333333333309383e+03,-1.026226511817966447e+01
1.906416666666642641e+03,-1.374365158758921623e+01
1.906499999999975898e+03,-3.023719305494022436e+01
1.906583333333309156e+03,-3.092394323464117178e+01
1.906666666666642413e+03,-6.128095358107104929e+00
1.906749999999975671e+03,1.359900091183492066e+01
1.906833333333308929e+03,-8.063136982548961385e+00
1.906916666666642186e+03,-4.038285554531711341e+01
1.906999999999975444e+03,-2.943145924563634708e+01
1.907083333333308701e+03,-1.248111880948072283e+01
1.907166666666641959e+03,-2.656120280841388137e+01
1.907249999999975216e+03,-4.338341875282050353e+01
1.907333333333308474e+03,-3.357369730800053276e+01
1.907416666666641731e+03,-2.774667746292838189e+00
1.907499999999974989e+03,9.562429959829305659e+00
1.907583333333308246e+03,-1.687356574140471110e+01
1.907666666666641504e+03,-3.929524798952664355e+01
1.907749999999974762e+03,-1.606666489421834854e+01
1.907833333333308019e+03,-2.864147299566415228e+00
1.907916666666641277e+03,-3.155178261223510816e+01
1.907999999999974534e+03,-4.978412331668167212e+01
1.908083333333307792e+03,-2.996081989388200029e+01
1.908166666666641049e+03,1.785351117026682033e+00
1.908249999999974307e+03,3.102123780444451029e+00
1.908333333333307564e+03,-2.324201180326209482e+01
1.908416666666640822e+03,-3.269488968063598122e+01
1.908499999999974079e+03,-6.375871509373382651e+00
1.908583333333307337e+03,3.543819541912540672e-01
1.908666666666640594e+03,-3.433677616538305699e+01
1.908749999999973852e+03,-4.923339585046194600e+01
1.908833333333307110e+03,-2.184780452311916576e+01
1.908916666666640367e+03,4.219397074192254848e+00
1.908999999999973625e+03,-7.386256532529499097e+00
1.909083333333306882e+03,-3.038003906897049688e+01
1.909166666666640140e+03,-2.314546426027674642e+01
1.909249999999973397e+03,6.276628117376166216e+00
1.909333333333306655e+03,-2.558759436675313026e+00
1.909416666666639912e+03,-4.682752968413990402e+01
1.909499999999973170e+03,-5.177466913466439991e+01
1.909583333333306427e+03,-1.869762370029457088e+01
1.909666666666639685e+03,-3.993559600433306045e+00
1.909749999999972943e+03,-2.587314200554579813e+01
1.909833333333306200e+03,-4.013353811643773383e+01
1.909916666666639458e+03,-1.621145668616779645e+01
1.909999999999972715e+03,1.413718127810827241e+01
1.910083333333305973e+03,-9.516169153965492455e-01
1.910166666666639230e+03,-4.630568882423682453e+01
1.910249999999972488e+03,-4.385454556203547583e+01
1.910333333333305745e+03,-5.047060245877606377e+00
1.910416666666639003e+03,-1.115134594548703006e+00
1.910499999999972260e+03,-3.148235414293622370e+01
1.910583333333305518e+03,-3.640948271182980989e+01
1.910666666666638775e+03,-3.665022329138372115e+00
1.910749999999972033e+03,1.719917587376509260e+01
1.910833333333305291e+03,-9.218783984354484318e+00
1.910916666666638548e+03,-4.864746318300633732e+01
1.910999999999971806e+03,-3.694615147971481406e+01
1.911083333333305063e+03,-6.742663625480886935e+00
1.911166666666638321e+03,-1.986000412987410613e+01
1.911249999999971578e+03,-4.994456704500997546e+01
1.911333333333304836e+03,-3.871008928913609282e+01
1.911416666666638093e+03,1.362910144897821141e+00
1.911499999999971351e+03,1.240065714950489095e+01
1.911583333333304608e+03,-1.829228809826593150e+01
1.911666666666637866e+03,-4.583394295011230213e+01
1.911749999999971124e+03,-2.131480050946001015e+01
1.911833333333304381e+03,4.646918083876016681e+00
1.911916666666637639e+03,-2.442095956423845138e+01
1.911999999999970896e+03,-5.328892046047850073e+01
1.912083333333304154e+03,-2.820466868814531836e+01
1.912166666666637411e+03,1.016850124255928378e+01
1.912249999999970669e+03,6.008664236619029708e+00
1.912333333333303926e+03,-2.482746421968140282e+01
1.912416666666637184e+03,-3.669687911302629857e+01
1.912499999999970441e+03,-9.254311350838516859e+00
1.912583333333303699e+03,3.450715074921617997e+00
1.912666666666636957e+03,-3.487210052918132419e+01
1.912749999999970214e+03,-5.627371026211652350e+01
1.912833333333303472e+03,-2.203342123902249128e+01
1.912916666666636729e+03,8.329411896440248597e+00
1.912999999999969987e+03,-8.625703039997084431e+00
1.913083333333303244e+03,-3.262585271085209371e+01
1.913166666666636502e+03,-2.559882860277999939e+01
1.913249999999969759e+03,4.570417102869466675e+00
1.913333333333303017e+03,1.675434842815910486e-01
1.913416666666636274e+03,-4.832108583968445714e+01
1.913499999999969532e+03,-5.603935163687096832e+01
1.913583333333302789e+03,-1.407114628336692874e+01
1.913666666666636047e+03,1.394200789428374776e+00
1.913749999999969305e+03,-2.628221752324463623e+01
1.913833333333302562e+03,-3.824776397372422565e+01
1.913916666666635820e+03,-1.431371992570656992e+01
1.913999999999969077e+03,1.286003084054323864e+01
1.914083333333302335e+03,-2.922303132684334059e-01
1.914166666666635592e+03,-4.716755408407036043e+01
1.914249999999968850e+03,-4.677342792355604217e+01
1.914333333333302107e+03,-3.437391474395763424e+00
1.914416666666635365e+03,-4.430886909869968804e-01
